,Year,Category,Motivation,Prize Share,Laureate ID,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Winning_age,Age_x_x,Age_y_x,Age_x_y,Age_y_y,Age_x_x,Age_y_x,Age_x_y,Age_y_y
186,1934,Chemistry,for his discovery of heavy hydrogen,1/1,192,Harold Clayton Urey,1893-04-29,"Walkerton, IN",United States of America,Male,Columbia University,"New York, NY",United States of America,1981-01-05,"La Jolla, CA",United States of America,41.0,88.0,,,,,,,
187,1934,Literature,for his bold and ingenious revival of dramatic and scenic art,1/1,607,Luigi Pirandello,1867-06-28,"Agrigento, Sicily",Italy,Male,Self,,Italy,1936-12-10,Rome,Italy,67.0,69.0,,69.0,,69.0,,69.0,
188,1934,Medicine,for their discoveries concerning liver therapy in cases of anaemia,1/3,326,George Hoyt Whipple,1878-08-28,"Ashland, NH",United States of America,Male,University of Rochester,"Rochester, NY",United States of America,1976-02-01,"Rochester, NY",United States of America,56.0,98.0,,,,,,,
189,1934,Medicine,for their discoveries concerning liver therapy in cases of anaemia,1/3,327,George Richards Minot,1885-12-02,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1950-02-25,"Brookline, MA",United States of America,49.0,65.0,,,,,,,
190,1934,Medicine,for their discoveries concerning liver therapy in cases of anaemia,1/3,328,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1987-10-09,"Brookline, MA",United States of America,42.0,95.0,,,,,,,
191,1934,Medicine,for their discoveries concerning liver therapy in cases of anaemia,1/3,328,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,Male,Peter Brent Brigham Hospital,"Boston, MA",United States of America,1987-10-09,"Brookline, MA",United States of America,42.0,95.0,,,,,,,
192,1934,Peace,The Nobel Peace Prize 1934 was awarded to Arthur Henderson.,1/1,499,Arthur Henderson,1863-09-13,Glasgow,Scotland,Male," President, Disarmament Conference in 1932, ex-Foreign Secretary",,,1935-10-20,London,United Kingdom,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
193,1935,Chemistry,in recognition of their synthesis of new radioactive elements,1/2,193,Frédéric Joliot,1900-03-19,Paris,France,Male,Institut du Radium,Paris,France,1958-08-14,Paris,France,35.0,58.0,,,,,,,
194,1935,Chemistry,in recognition of their synthesis of new radioactive elements,1/2,194,Irène Joliot-Curie,1897-09-12,Paris,France,Female,Institut du Radium,Paris,France,1956-03-17,Paris,France,38.0,59.0,,,,,,,
195,1935,Medicine,for his discovery of the organizer effect in embryonic development,1/1,329,Hans Spemann,1869-06-27,Stuttgart,W&uuml;rttemberg (Germany),Male,University of Freiburg im Breisgau,Breisgau,Germany,1941-09-12,Freiburg im Breisgau,Germany,66.0,72.0,,,,,,,
196,1935,Peace,The Nobel Peace Prize 1935 was awarded to Carl von Ossietzky.,1/1,500,Carl von Ossietzky,1889-10-03,Hamburg,Germany,Male," Pacifist, Journalist (i.a. <i>die Weltbühne</i>)",,,1938-05-04,Berlin,Germany,46.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
197,1935,Physics,for the discovery of the neutron,1/1,41,James Chadwick,1891-10-20,Manchester,United Kingdom,Male,Liverpool University,Liverpool,United Kingdom,1974-07-24,Cambridge,United Kingdom,44.0,83.0,,,,,,,
198,1936,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,1/1,195,Petrus  Peter  Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Male,Berlin University,Berlin,Germany,1966-11-02,"Ithaca, NY",United States of America,52.0,82.0,,,,,,,
199,1936,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,1/1,195,Petrus  Peter  Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1966-11-02,"Ithaca, NY",United States of America,52.0,82.0,,,,,,,
200,1936,Literature,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",1/1,608,Eugene Gladstone O'Neill,1888-10-16,"New York, NY",United States of America,Male,Self,,United States of America,1953-11-27,"Boston, MA",United States of America,48.0,65.0,,65.0,,65.0,,65.0,
201,1936,Medicine,for their discoveries relating to chemical transmission of nerve impulses,1/2,330,Sir Henry Hallett Dale,1875-06-09,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,1968-07-23,Cambridge,United Kingdom,61.0,93.0,,,,,,,
202,1936,Medicine,for their discoveries relating to chemical transmission of nerve impulses,1/2,331,Otto Loewi,1873-06-03,Frankfurt-on-the-Main,Germany,Male,Graz University,Graz,Austria,1961-12-25,"New York, NY",United States of America,63.0,88.0,,,,,,,
203,1936,Peace,The Nobel Peace Prize 1936 was awarded to Carlos Saavedra Lamas.,1/1,501,Carlos Saavedra Lamas,1878-11-01,Buenos Aires,Argentina,Male," Foreign Minister, President of the Assembly of the League of Nations, Mediator in a conflict between Paraguay and Bolivia",,,1959-05-05,Buenos Aires,Argentina,58.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
204,1936,Physics,for his discovery of cosmic radiation,1/2,42,Victor Franz Hess,1883-06-24,Peggau,Austria,Male,Innsbruck University,Innsbruck,Austria,1964-12-17,"Mount Verno, NY",United States of America,53.0,81.0,,,,,,,
205,1936,Physics,for his discovery of the positron,1/2,43,Carl David Anderson,1905-09-03,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1991-01-11,"San Marino, CA",United States of America,31.0,86.0,,,,,,,
206,1937,Chemistry,for his investigations on carbohydrates and vitamin C,1/2,196,Walter Norman Haworth,1883-03-19,Chorley,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom,1950-03-19,Birmingham,United Kingdom,54.0,67.0,,,,,,,
207,1937,Chemistry,"for his investigations on carotenoids, flavins and vitamins A and B2",1/2,197,Paul Karrer,1889-04-21,Moscow,Russia,Male,University of Zurich,Zurich,Switzerland,1971-06-18,Zurich,Switzerland,48.0,82.0,,,,,,,
208,1937,Literature,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,1/1,609,Roger Martin du Gard,1881-03-23,Neuilly-sur-Seine,France,Male,Self,,France,1958-08-22,Bellême,France,56.0,77.0,,77.0,,77.0,,77.0,
209,1937,Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",1/1,332,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Budapest,Austria-Hungary (Hungary),Male,Szeged University,Szeged,Hungary,1986-10-22,"Woods Hole, MA",United States of America,44.0,93.0,,,,,,,
210,1937,Peace,Not Specified,1/1,502,"Cecil of Chelwood, Viscount  Lord Edgar Algernon Robert Gascoyne Cecil ",1864-09-14,London,United Kingdom,Male,Self,,United Kingdom,1958-11-24,Tunbridge Wells,United Kingdom,73.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
211,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,1/2,44,Clinton Joseph Davisson,1881-10-22,"Bloomington, IL",United States of America,Male,Bell Telephone Laboratories,"New York, NY",United States of America,1958-02-01,"Charlottesville, VA",United States of America,56.0,77.0,,,,,,,
212,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,1/2,45,George Paget Thomson,1892-05-03,Cambridge,United Kingdom,Male,London University,London,United Kingdom,1975-09-10,Cambridge,United Kingdom,45.0,83.0,,,,,,,
213,1938,Chemistry,for his work on carotenoids and vitamins,1/1,198,Richard Kuhn,1900-12-03,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany),38.0,67.0,,,,,,,
214,1938,Chemistry,for his work on carotenoids and vitamins,1/1,198,Richard Kuhn,1900-12-03,Vienna,Austria-Hungary (Austria),Male,University of Heidelberg,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany),38.0,67.0,,,,,,,
215,1938,Literature,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,1/1,610,Pearl Buck,1892-06-26,"Hillsboro, WV",United States of America,Female,Self,,United States of America,1973-03-06,"Danby, VT",United States of America,46.0,81.0,,81.0,,81.0,,81.0,
216,1938,Medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,1/1,333,Corneille Jean François Heymans,1892-03-28,Ghent,Belgium,Male,Ghent University,Ghent,Belgium,1968-07-18,Knokke,Belgium,46.0,76.0,,,,,,,
217,1938,Physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",1/1,46,Enrico Fermi,1901-09-29,Rome,Italy,Male,Rome University,Rome,Italy,1954-11-28,"Chicago, IL",United States of America,37.0,53.0,,,,,,,
218,1939,Chemistry,for his work on sex hormones,1/2,199,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1995-01-18,Munich,Germany,36.0,92.0,,,,,,,
219,1939,Chemistry,for his work on sex hormones,1/2,199,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Germany,Male,Berlin University,Berlin,Germany,1995-01-18,Munich,Germany,36.0,92.0,,,,,,,
220,1939,Chemistry,for his work on polymethylenes and higher terpenes,1/2,200,Leopold Ruzicka,1887-09-13,Vukovar,Austria-Hungary (Croatia),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1976-09-26,Zurich,Switzerland,52.0,89.0,,,,,,,
221,1939,Literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,1/1,613,Frans Eemil Sillanpää,1888-09-16,Hämeenkyrö,Russian Empire (Finland),Male,Self,,Russian Empire (Finland),1964-06-03,Helsinki,Finland,51.0,76.0,,76.0,,76.0,,76.0,
222,1939,Medicine,for the discovery of the antibacterial effects of prontosil,1/1,334,Gerhard Domagk,1895-10-30,Lagow,Germany (Poland),Male,Munster University,Munster,Germany,1964-04-24,Burgberg,West Germany (Germany),44.0,69.0,,,,,,,
223,1939,Physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",1/1,47,Ernest Orlando Lawrence,1901-08-08,"Canton, SD",United States of America,Male,University of California,"Berkeley, CA",United States of America,1958-08-27,"Palo Alto, CA",United States of America,38.0,57.0,,,,,,,
224,1943,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes,1/1,201,George de Hevesy,1885-08-01,Budapest,Austria-Hungary (Hungary),Male,Stockholm University,Stockholm,Sweden,1966-07-05,Freiburg im Breisgau,West Germany (Germany),58.0,81.0,,,,,,,
225,1943,Medicine,for his discovery of vitamin K,1/2,335,Henrik Carl Peter Dam,1895-02-21,Copenhagen,Denmark,Male,Polytechnic Institute,Copenhagen,Denmark,1976-04-17,Copenhagen,Denmark,48.0,81.0,,,,,,,
226,1943,Medicine,for his discovery of the chemical nature of vitamin K,1/2,336,Edward Adelbert Doisy,1893-11-13,"Hume, IL",United States of America,Male,Saint Louis University,"St. Louis, MO",United States of America,1986-10-23,"St. Louis, MO",United States of America,50.0,93.0,,,,,,,
227,1943,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,1/1,48,Otto Stern,1888-02-17,Sorau (Zory),Germany (Poland),Male,Carnegie Institute of Technology,"Pittsburgh, PA",United States of America,1969-08-17,"Berkeley, CA",United States of America,55.0,81.0,,,,,,,
228,1944,Chemistry,for his discovery of the fission of heavy nuclei,1/1,202,Otto Hahn,1879-03-08,Frankfurt-on-the-Main,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1968-07-28,Göttingen,West Germany (Germany),65.0,89.0,,,,,,,
229,1944,Literature,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",1/1,614,Johannes Vilhelm Jensen,1873-01-20,Farsø,Denmark,Male,Self,,Denmark,1950-11-25,Copenhagen,Denmark,71.0,77.0,,77.0,,77.0,,77.0,
230,1944,Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,1/2,337,Joseph Erlanger,1874-01-05,"San Francisco, CA",United States of America,Male,Washington University,"St. Louis, MO",United States of America,1965-12-05,"St. Louis, MO",United States of America,70.0,91.0,,,,,,,
231,1944,Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,1/2,338,Herbert Spencer Gasser,1888-07-05,"Platteville, WI",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1963-05-11,"New York, NY",United States of America,56.0,75.0,,,,,,,
232,1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei,1/1,49,Isidor Isaac Rabi,1898-07-29,Rymanow,Austria-Hungary (Poland),Male,Columbia University,"New York, NY",United States of America,1988-01-11,"New York, NY",United States of America,46.0,90.0,,,,,,,
233,1945,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",1/1,203,Artturi Ilmari Virtanen,1895-01-15,Helsinki,Russian Empire (Finland),Male,University of Helsinki,Helsinki,Finland,1973-11-11,Helsinki,Finland,50.0,78.0,,,,,,,
234,1945,Literature,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",1/1,615,Gabriela Mistral,1889-04-07,Vicuña,Chile,Female,Self,,Chile,1957-01-10,"Hempstead, NY",United States of America,56.0,68.0,,68.0,,68.0,,68.0,
235,1945,Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,1/3,339,Sir Alexander Fleming,1881-08-06,Lochfield,Scotland,Male,London University,London,United Kingdom,1955-03-11,London,United Kingdom,64.0,74.0,,,,,,,
236,1945,Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,1/3,340,Ernst Boris Chain,1906-06-19,Berlin,Germany,Male,University of Oxford,Oxford,United Kingdom,1979-08-12,Mulrany,Ireland,39.0,73.0,,,,,,,
237,1945,Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,1/3,341,Sir Howard Walter Florey,1898-09-24,Adelaide,Australia,Male,University of Oxford,Oxford,United Kingdom,1968-02-21,Oxford,United Kingdom,47.0,70.0,,,,,,,
238,1945,Peace,The Nobel Peace Prize 1945 was awarded to Cordell Hull.,1/1,505,Cordell Hull,1871-10-02,"Olympus, TN",United States of America,Male," Prominent participant in the originating of the United Nations, ex-Secretary of State",,,1955-07-23,"Bethesda, MD",United States of America,74.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
239,1945,Physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle",1/1,50,Wolfgang Pauli,1900-04-25,Vienna,Austria,Male,Princeton University,"Princeton, NJ",United States of America,1958-12-15,Zurich,Switzerland,45.0,58.0,,,,,,,
240,1946,Chemistry,for his discovery that enzymes can be crystallized,1/2,204,James Batcheller Sumner,1887-11-19,"Canton, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1955-08-12,"Buffalo, NY",United States of America,59.0,68.0,,,,,,,
241,1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form,1/4,205,John Howard Northrop,1891-07-05,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1987-05-27,"Wickenberg, AZ",United States of America,55.0,96.0,,,,,,,
242,1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form,1/4,206,Wendell Meredith Stanley,1904-08-16,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1971-06-15,Salamanca,Spain,42.0,67.0,,,,,,,
243,1946,Literature,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",1/1,617,Hermann Hesse,1877-07-02,Calw,Germany,Male,Self,,Germany,1962-08-09,Montagnola,Switzerland,69.0,85.0,,85.0,,85.0,,85.0,
244,1946,Medicine,for the discovery of the production of mutations by means of X-ray irradiation,1/1,342,Hermann Joseph Muller,1890-12-21,"New York, NY",United States of America,Male,Indiana University,"Bloomington, IN",United States of America,1967-04-05,,,56.0,77.0,,,,,,,
245,1946,Peace,The Nobel Peace Prize 1946 was awarded jointly to Emily Greene Balch and John Raleigh Mott,1/2,506,Emily Greene Balch,1867-01-08,"Jamaica Plain, MA (Boston)",United States of America,Female," Honorary International President, Women's International League for Peace and Freedom, Formerly Professor of History and Sociology",,,1961-01-09,"Cambridge, MA",United States of America,79.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
246,1946,Peace,The Nobel Peace Prize 1946 was awarded jointly to Emily Greene Balch and John Raleigh Mott,1/2,507,John Raleigh Mott,1865-05-25,"Livingston Manor, NY",United States of America,Male," President, World Alliance of Young Men's Christian Associations, Chairman, International Missionary Council",,,1955-01-31,,United States of America,81.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
247,1946,Physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",1/1,51,Percy Williams Bridgman,1882-04-21,"Cambridge, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1961-08-20,"Randolph, NH",United States of America,64.0,79.0,,,,,,,
248,1947,Chemistry,"for his investigations on plant products of biological importance, especially the alkaloids",1/1,207,Sir Robert Robinson,1886-09-13,"Rufford, near Chesterfield",United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1975-02-08,Great Missenden,United Kingdom,61.0,89.0,,,,,,,
249,1947,Literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",1/1,618,André Paul Guillaume Gide,1869-11-22,Paris,France,Male,Self,,France,1951-02-19,Paris,France,78.0,82.0,,82.0,,82.0,,82.0,
250,1947,Medicine,for their discovery of the course of the catalytic conversion of glycogen,1/4,343,Carl Ferdinand Cori,1896-12-05,Prague,Austria-Hungary (Czech Republic),Male,Washington University,"St. Louis, MO",United States of America,1984-10-20,"Cambridge, MA",United States of America,51.0,88.0,,,,,,,
251,1947,Medicine,for their discovery of the course of the catalytic conversion of glycogen,1/4,344,"Gerty Theresa Cori, née Radnitz",1896-08-15,Prague,Austria-Hungary (Czech Republic),Female,Washington University,"St. Louis, MO",United States of America,1957-10-26,"St. Louis, MO",United States of America,51.0,61.0,,,,,,,
252,1947,Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,1/2,345,Bernardo Alberto Houssay,1887-04-10,Buenos Aires,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1971-09-21,Buenos Aires,Argentina,60.0,84.0,,,,,,,
253,1947,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,1/1,52,Sir Edward Victor Appleton,1892-09-06,Bradford,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,1965-04-21,Edinburgh,Scotland,55.0,73.0,,,,,,,
254,1948,Chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",1/1,208,Arne Wilhelm Kaurin Tiselius,1902-08-10,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-10-29,Uppsala,Sweden,46.0,69.0,,,,,,,
255,1948,Literature,"for his outstanding, pioneer contribution to present-day poetry",1/1,619,Thomas Stearns Eliot,1888-09-26,"St. Louis, MO",United States of America,Male,Self,,United States of America,1965-01-04,London,United Kingdom,60.0,77.0,,77.0,,77.0,,77.0,
256,1948,Medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,1/1,346,Paul Hermann Müller,1899-01-12,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1965-10-12,Basel,Switzerland,49.0,66.0,,,,,,,
257,1948,Physics,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",1/1,53,Patrick Maynard Stuart Blackett,1897-11-18,London,United Kingdom,Male,Victoria University,Manchester,United Kingdom,1974-07-13,London,United Kingdom,51.0,77.0,,,,,,,
258,1949,Chemistry,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",1/1,209,William Francis Giauque,1895-05-12,Niagara Falls,Canada,Male,University of California,"Berkeley, CA",United States of America,1982-03-28,"Berkeley, CA",United States of America,54.0,87.0,,,,,,,
259,1949,Literature,for his powerful and artistically unique contribution to the modern American novel,1/1,620,William Faulkner,1897-09-25,"New Albany, MS",United States of America,Male,Self,,United States of America,1962-07-06,"Byhalia, MS",United States of America,52.0,65.0,,65.0,,65.0,,65.0,
260,1949,Medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,1/2,347,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland,1973-08-12,Ascona,Switzerland,68.0,92.0,,,,,,,
261,1949,Medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses,1/2,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal,1955-12-13,Lisbon,Portugal,75.0,81.0,,,,,,,
262,1949,Medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses,1/2,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal,1955-12-13,Lisbon,Portugal,75.0,81.0,,,,,,,
263,1949,Peace,Not Specified,1/1,510,Lord  John  Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,Male,Self,,Scotland,1971-06-25,Edzell,Scotland,69.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
264,1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,1/1,54,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981-09-08,Kyoto,Japan,42.0,74.0,,,,,,,
265,1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,1/1,54,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Columbia University,"New York, NY",United States of America,1981-09-08,Kyoto,Japan,42.0,74.0,,,,,,,
266,1950,Chemistry,for their discovery and development of the diene synthesis,1/2,210,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,1954-03-07,Kiel,West Germany (Germany),74.0,78.0,,,,,,,
267,1950,Chemistry,for their discovery and development of the diene synthesis,1/2,211,Kurt Alder,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958-06-20,Cologne,West Germany (Germany),48.0,56.0,,,,,,,
268,1950,Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,1/1,621,Earl  Bertrand Arthur William  Russell,1872-05-18,Trelleck,United Kingdom,Male,Self,,United Kingdom,1970-02-02,Penrhyndeudraeth,United Kingdom,78.0,98.0,,98.0,,98.0,,98.0,
269,1950,Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",1/3,349,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1972-05-04,"Princeton, NJ",United States of America,64.0,86.0,,,,,,,
270,1950,Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",1/3,350,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,1996-08-01,Basel,Switzerland,53.0,99.0,,,,,,,
271,1950,Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",1/3,351,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1965-03-30,Ocho Rios,Jamaica,54.0,69.0,,,,,,,
272,1950,Peace,The Nobel Peace Prize 1950 was awarded to Ralph Bunche.,1/1,511,Ralph Bunche,1904-08-07,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1971-12-09,"New York, NY",United States of America,46.0,67.0,67.0,,,,,,
273,1950,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,1/1,55,Cecil Frank Powell,1903-12-05,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,1969-08-09,,Italy,47.0,66.0,,,,,,,
274,1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,1/2,212,Edwin Mattison McMillan,1907-09-18,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1991-09-07,"El Cerrito, CA",United States of America,44.0,84.0,,,,,,,
275,1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,1/2,213,Glenn Theodore Seaborg,1912-04-19,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,1999-02-25,"Lafayette, CA",United States of America,39.0,87.0,,,,,,,
276,1951,Literature,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,1/1,622,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Male,Self,,Sweden,1974-07-11,Stockholm,Sweden,60.0,83.0,,83.0,,83.0,,83.0,
277,1951,Medicine,for his discoveries concerning yellow fever and how to combat it,1/1,352,Max Theiler,1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,1972-08-11,"New Haven, CT",United States of America,52.0,73.0,,,,,,,
278,1951,Peace,The Nobel Peace Prize 1951 was awarded to Léon Jouhaux.,1/1,512,Léon Jouhaux,1879-07-01,Paris,France,Male," Delegate U.N., Member Council of I.L.O. (International Labour Organization), Vice President, Fédération syndicale mondiale, Vice President, International Confederation of Free Trade Unions, President, Conseil national économique and International Committee of the European Council, President, Trade Union Confederation C.G.T. Force Ouvrière",,,1954-04-28,Paris,France,72.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
279,1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,1/2,56,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,1967-09-18,Cambridge,United Kingdom,54.0,70.0,,,,,,,
280,1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,1/2,57,Ernest Thomas Sinton Walton,1903-10-06,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,1995-06-25,Belfast,Northern Ireland,48.0,92.0,,,,,,,
281,1952,Chemistry,for their invention of partition chromatography,1/2,214,Archer John Porter Martin,1910-03-01,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002-07-28,Llangarron,United Kingdom,42.0,92.0,,,,,,,
282,1952,Chemistry,for their invention of partition chromatography,1/2,215,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom,38.0,80.0,,,,,,,
283,1952,Literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,1/1,623,François Mauriac,1885-10-11,Bordeaux,France,Male,Self,,France,1970-09-01,Paris,France,67.0,85.0,,85.0,,85.0,,85.0,
